city,year,land_type,aqi,green_cover_percent,water_quality_index,flood_risk_score,dist_expressway_km,dist_metro_railway_km,near_industrial_zone,avg_price_per_sqft
Ghaziabad,2019,Mixed-use,177,10.3,54.1,0.3,0.5,1.3,1,3695.1
Ghaziabad,2016,Mixed-use,183,6.5,53.9,0.21,2.5,9.2,0,3641.4
Pilkhuwa,2022,Commercial,140,11.9,51.6,0.31,7.8,26.3,0,2966.66
Mawana,2016,Agricultural,135,24.7,68.1,0.62,46.2,42.8,1,200
Mawana,2018,Agricultural,114,17.8,66.4,0.65,29.8,50.7,0,231.78
Pilkhuwa,2023,Agricultural,145,7.2,62.8,0.35,19.7,26.6,0,330.18
Muradnagar,2020,Agricultural,135,16.6,51.9,0.36,15.5,29.6,0,389.96
Ghaziabad,2024,Mixed-use,220,9.9,50.7,0.4,0.5,22.5,1,4744.97
Mawana,2020,Commercial,83,19.5,72.4,0.6,34.1,46.6,0,2260.52
Meerut,2023,Agricultural,233,4.5,65.5,0.25,0.5,0.5,1,433.78
Muradnagar,2016,Commercial,176,8.0,36.1,0.07,3.9,18.5,0,2283.72
Hapur,2024,Residential,181,15.3,71.6,0.34,13.6,14.5,0,2266.29
Baghpat,2024,Residential,106,14.6,71.1,0.65,5.9,31.5,1,1706.07
Hapur,2015,Mixed-use,200,9.2,48.5,0.19,12.9,11.9,1,1298.02
Sardhana,2018,Agricultural,123,24.5,51.9,0.37,19.2,43.4,0,244.42
Pilkhuwa,2016,Residential,244,14.5,40.6,0.06,11.1,18.6,1,1013.47
Khekra,2021,Commercial,125,19.8,72.6,0.46,15.2,26.1,1,2364.9
Hapur,2017,Commercial,186,14.2,55.6,0.47,6.3,25.3,0,2179.38
Muradnagar,2024,Commercial,199,14.8,60.2,0.39,0.5,25.4,1,3185.99
Modinagar,2017,Residential,196,4.7,59.9,0.34,0.5,15.1,0,1575.64
Muradnagar,2022,Mixed-use,168,6.8,52.9,0.38,6.9,9.4,1,2178.51
Muradnagar,2018,Commercial,203,15.4,60.2,0.29,1.8,10.0,1,2346.01
Meerut,2019,Residential,166,7.6,60.9,0.31,0.5,17.2,1,2149.52
Baghpat,2015,Residential,114,23.8,69.9,0.62,25.8,42.8,1,971.91
Hapur,2016,Residential,189,10.6,61.9,0.43,12.3,4.1,0,1313.13
Muradnagar,2024,Residential,196,13.1,51.9,0.25,7.6,26.6,1,1888.45
Khekra,2025,Commercial,186,19.8,69.6,0.53,11.9,37.4,0,2898.0
Muradnagar,2016,Commercial,210,12.1,41.8,0.46,5.4,12.2,0,2085.28
Meerut,2018,Mixed-use,176,10.3,62.4,0.44,0.5,14.5,0,2888.32
Meerut,2024,Mixed-use,203,12.5,46.8,0.17,1.5,22.7,1,3296.32
Khekra,2021,Commercial,160,14.8,64.5,0.67,30.5,30.7,0,2285.73
Meerut,2025,Agricultural,160,7.7,46.5,0.15,9.4,0.5,0,591.75
Muradnagar,2019,Commercial,145,14.6,68.7,0.42,11.4,3.7,0,3114.46
Muradnagar,2022,Residential,162,11.5,56.7,0.21,8.0,30.1,0,2024.19
Baghpat,2018,Residential,90,18.2,55.0,0.63,12.3,37.0,0,1327.83
Modinagar,2024,Commercial,182,11.9,49.0,0.39,10.2,17.9,0,3485.1
Mawana,2018,Residential,121,19.0,71.8,0.61,20.2,55.5,0,1216.3
Hapur,2016,Agricultural,197,15.1,50.4,0.39,12.0,16.9,0,260.96
Mawana,2016,Residential,192,24.9,57.0,0.87,29.3,41.3,0,886.3
Baghpat,2019,Agricultural,180,20.0,68.0,0.54,26.0,22.1,1,235.48
Mawana,2021,Agricultural,99,23.4,50.8,0.77,33.4,43.3,0,248.29
Ghaziabad,2015,Mixed-use,245,2.3,51.7,0.09,0.5,11.5,0,3111.22
Modinagar,2017,Mixed-use,184,10.0,48.8,0.37,17.6,17.5,0,1849.35
Baghpat,2015,Commercial,145,22.7,49.4,0.27,16.7,34.1,0,1784.74
Hapur,2020,Mixed-use,109,10.4,60.2,0.43,9.2,10.8,1,2001.43
Modinagar,2025,Agricultural,197,10.6,60.6,0.55,3.2,8.1,0,420.42
Pilkhuwa,2018,Agricultural,149,11.5,50.4,0.43,20.3,21.4,1,239.88
Baghpat,2023,Mixed-use,105,21.3,77.0,0.65,13.9,14.1,0,2390.05
Khekra,2025,Residential,208,20.8,67.2,0.55,12.9,21.7,0,1812.07
Hapur,2017,Commercial,134,11.4,46.6,0.54,11.6,28.5,0,2123.44
Pilkhuwa,2019,Commercial,236,19.7,48.0,0.28,11.9,42.3,0,2321.57
Pilkhuwa,2021,Agricultural,190,10.7,58.9,0.38,6.4,33.3,0,318.3
Hapur,2024,Mixed-use,215,6.7,70.4,0.61,17.2,31.8,0,2207.5
Pilkhuwa,2020,Agricultural,214,15.3,75.5,0.53,4.7,11.5,1,262.56
Ghaziabad,2021,Commercial,177,1.9,53.9,0.13,9.6,13.9,1,5229.19
Baghpat,2025,Mixed-use,154,25.6,59.4,0.53,17.7,32.2,0,2770.24
Pilkhuwa,2019,Residential,182,14.7,56.1,0.32,21.0,24.9,1,1253.09
Ghaziabad,2025,Residential,179,11.6,39.7,0.48,5.5,0.5,0,4927.76
Sardhana,2024,Residential,161,21.8,93.4,0.48,21.9,39.2,0,1806.28
Baghpat,2021,Commercial,121,20.2,80.7,0.72,26.2,38.8,0,2553.56
Pilkhuwa,2023,Residential,147,15.3,45.2,0.31,8.5,20.1,0,1972.24
Khekra,2019,Commercial,167,25.2,63.0,0.65,14.0,19.6,1,2014.24
Hapur,2020,Agricultural,140,17.5,64.8,0.42,14.4,25.3,1,304.3
Ghaziabad,2016,Mixed-use,197,7.1,63.0,0.48,10.2,6.8,1,3023.29
Modinagar,2022,Commercial,183,9.5,43.6,0.12,0.5,5.6,0,3583.6
Muradnagar,2016,Agricultural,141,11.8,57.3,0.41,13.0,12.1,1,266.14
Meerut,2016,Agricultural,199,3.8,70.7,0.19,0.9,18.6,0,405.56
Hapur,2017,Residential,202,13.0,56.7,0.32,12.3,18.3,0,1355.05
Hapur,2016,Agricultural,158,10.4,42.6,0.58,14.7,28.7,0,232.12
Ghaziabad,2021,Agricultural,252,7.9,55.5,0.25,0.5,0.5,1,606.52
Khekra,2015,Commercial,158,13.8,83.6,0.57,28.1,31.5,0,1777.98
Mawana,2016,Residential,112,30.6,75.0,0.62,28.6,49.5,0,1196.97
Baghpat,2017,Mixed-use,162,15.9,60.0,0.44,17.3,36.1,0,1432.88
Ghaziabad,2020,Residential,188,12.4,41.0,0.19,5.5,0.5,1,3266.22
Pilkhuwa,2015,Agricultural,160,10.1,43.6,0.35,13.5,27.3,1,200
Mawana,2023,Agricultural,146,24.2,64.4,0.66,24.6,59.9,0,254.74
Baghpat,2015,Residential,209,22.6,69.1,0.66,14.6,43.3,0,1024.11
Modinagar,2021,Mixed-use,162,8.7,66.2,0.18,1.1,26.2,1,2347.75
Mawana,2020,Agricultural,133,24.2,63.9,0.62,30.8,28.5,0,245.12
Meerut,2017,Residential,239,6.6,55.8,0.48,9.1,0.5,0,1757.77
Pilkhuwa,2018,Residential,164,13.4,49.6,0.37,16.1,13.9,0,1459.18
Modinagar,2015,Agricultural,172,8.9,77.1,0.25,7.4,8.1,0,332.22
Modinagar,2018,Mixed-use,169,14.2,52.9,0.54,18.3,22.8,0,2139.73
Meerut,2024,Commercial,233,13.6,59.5,0.22,0.5,0.5,0,5071.3
Ghaziabad,2019,Commercial,219,5.1,50.4,0.18,5.7,2.3,0,5377.57
Meerut,2025,Commercial,201,11.9,54.9,0.35,17.5,22.6,1,4273.05
Baghpat,2015,Mixed-use,114,16.4,67.2,0.78,22.3,32.1,0,1450.44
Meerut,2023,Agricultural,230,13.6,64.2,0.37,5.3,3.9,1,478.28
Mawana,2015,Residential,126,23.4,73.0,0.68,35.2,50.9,0,1000.23
Modinagar,2020,Commercial,166,12.5,50.7,0.28,3.2,29.9,1,2820.21
Modinagar,2019,Residential,152,8.8,62.2,0.31,5.9,10.9,0,1786.12
Ghaziabad,2025,Commercial,236,9.3,52.9,0.36,0.5,0.5,0,7546.29
Khekra,2019,Commercial,161,12.6,61.3,0.5,18.9,32.8,0,1983.25
Ghaziabad,2023,Agricultural,212,8.9,37.8,0.37,1.1,0.5,0,772.35
Pilkhuwa,2024,Residential,174,12.5,51.4,0.36,10.7,18.1,0,1949.47
Ghaziabad,2015,Commercial,196,7.7,55.0,0.34,0.5,8.8,1,3686.39
Meerut,2015,Residential,180,13.7,58.5,0.07,0.9,2.8,0,1950.93
Ghaziabad,2022,Residential,215,1.9,51.1,0.3,1.0,0.5,1,3395.22
Hapur,2023,Mixed-use,195,11.4,58.8,0.27,15.0,9.3,0,2558.94
Khekra,2020,Mixed-use,108,12.5,69.0,0.44,18.6,31.8,0,1803.39
Mawana,2025,Mixed-use,150,27.8,59.1,0.65,22.4,37.1,0,2153.1
Mawana,2021,Commercial,124,31.8,61.6,0.69,24.5,33.3,0,2396.15
Mawana,2015,Agricultural,93,25.8,62.1,0.65,33.1,40.1,1,200
Modinagar,2020,Mixed-use,176,10.7,68.7,0.48,12.6,14.3,0,2471.58
Ghaziabad,2019,Mixed-use,202,7.2,57.3,0.25,0.5,0.5,1,3992.38
Ghaziabad,2015,Commercial,191,7.4,56.9,0.22,0.5,3.4,0,4388.59
Baghpat,2023,Mixed-use,185,16.2,51.4,0.79,25.3,35.7,0,1876.29
Modinagar,2016,Residential,173,10.4,74.8,0.33,9.3,15.7,1,1459.01
Hapur,2019,Residential,182,9.0,49.5,0.36,17.0,19.8,1,1247.68
Hapur,2020,Commercial,191,8.2,49.6,0.57,11.9,22.8,0,2336.93
Modinagar,2022,Agricultural,218,8.2,49.8,0.27,10.4,0.5,0,383.37
Pilkhuwa,2022,Mixed-use,174,16.4,56.9,0.2,16.4,11.9,0,2476.49
Muradnagar,2022,Residential,165,13.5,57.9,0.27,15.6,0.5,0,2115.3
Mawana,2023,Commercial,119,19.0,78.3,0.71,28.2,23.6,1,2181.96
Baghpat,2018,Residential,124,13.7,75.4,0.71,16.9,25.7,0,1315.08
Muradnagar,2016,Commercial,199,11.8,55.5,0.63,14.8,17.1,0,2045.56
Baghpat,2025,Mixed-use,134,20.9,41.5,0.49,28.9,21.4,0,2534.48
Mawana,2020,Mixed-use,130,28.4,56.1,0.78,33.3,38.1,0,1614.4
Mawana,2018,Mixed-use,115,19.2,75.9,0.8,34.6,34.1,0,1423.11
Baghpat,2016,Mixed-use,191,20.9,77.5,0.45,37.7,23.2,0,1435.72
Baghpat,2025,Commercial,119,21.5,72.3,0.65,26.6,54.2,0,3279.89
Khekra,2015,Residential,194,19.4,51.4,0.63,20.6,31.5,1,832.36
Baghpat,2015,Residential,159,16.2,47.0,0.6,13.0,38.3,0,1013.45
Sardhana,2023,Commercial,163,18.1,72.2,0.56,24.9,39.6,1,2149.99
Khekra,2023,Agricultural,112,18.6,62.2,0.44,22.2,32.8,0,332.65
Sardhana,2022,Commercial,164,25.9,75.8,0.45,32.1,34.1,1,2358.21
Modinagar,2019,Residential,196,13.8,67.2,0.42,5.7,17.1,1,1655.47
Pilkhuwa,2017,Agricultural,130,17.0,67.3,0.38,19.5,30.1,0,308.88
Ghaziabad,2020,Agricultural,179,14.1,33.0,0.53,0.5,3.1,0,737.21
Baghpat,2016,Mixed-use,172,15.1,70.3,0.71,28.5,31.7,0,1477.21
Khekra,2016,Residential,163,22.7,67.7,0.59,30.1,20.2,0,1214.79
Ghaziabad,2015,Residential,181,1.0,44.0,0.33,3.9,0.5,1,2245.81
Meerut,2017,Commercial,185,6.5,53.4,0.18,3.3,12.0,1,2970.53
Muradnagar,2025,Mixed-use,172,11.5,54.2,0.18,0.5,33.5,0,3336.84
Modinagar,2023,Agricultural,181,10.4,42.1,0.6,5.0,14.2,0,367.71
Hapur,2019,Mixed-use,152,9.8,51.9,0.41,15.9,15.0,1,1718.56
Meerut,2024,Agricultural,159,11.2,49.7,0.45,0.6,0.5,1,499.33
Muradnagar,2025,Mixed-use,203,14.4,57.0,0.29,15.6,26.2,1,2691.37
Hapur,2017,Commercial,176,14.8,59.6,0.35,17.4,17.0,1,1987.33
Mawana,2020,Agricultural,81,20.2,70.3,0.67,39.7,38.0,0,255.75
Muradnagar,2022,Residential,201,11.0,49.1,0.36,11.5,20.7,1,1719.44
Hapur,2020,Residential,112,14.3,48.0,0.39,1.1,28.4,0,1743.53
Khekra,2015,Residential,106,22.3,78.4,0.55,16.5,35.3,0,1133.74
Khekra,2019,Residential,170,22.3,61.0,0.8,31.3,24.5,1,1059.52
Sardhana,2017,Mixed-use,89,19.3,85.7,0.31,25.6,53.9,0,1636.84
Hapur,2024,Mixed-use,198,11.2,59.6,0.2,4.1,18.2,0,2521.03
Muradnagar,2021,Commercial,144,13.7,58.6,0.62,2.6,27.7,0,3090.25
Muradnagar,2025,Mixed-use,137,13.1,53.9,0.51,6.7,17.9,0,2898.54
Sardhana,2021,Commercial,95,16.1,62.5,0.86,36.3,40.7,0,2132.61
Hapur,2016,Mixed-use,184,8.2,57.9,0.42,12.7,32.7,0,1514.77
Modinagar,2015,Residential,172,9.9,59.7,0.46,15.7,4.2,0,1395.8
Baghpat,2023,Mixed-use,178,17.2,50.0,0.65,20.8,34.0,1,1819.82
Khekra,2017,Residential,98,16.5,66.7,0.4,11.7,40.2,1,1066.01
Muradnagar,2020,Residential,186,10.7,66.8,0.24,12.0,18.2,1,1545.04
Meerut,2015,Residential,236,14.0,45.5,0.5,3.0,8.9,0,1670.96
Meerut,2020,Commercial,192,14.4,68.9,0.47,8.6,0.5,1,3747.82
Modinagar,2022,Agricultural,204,6.0,58.9,0.41,12.9,7.2,0,363.05
Meerut,2021,Commercial,221,1.5,43.1,0.27,0.5,0.5,1,3275.27
Khekra,2016,Agricultural,134,15.0,62.2,0.49,23.6,24.4,0,244.74
Modinagar,2017,Mixed-use,194,15.4,55.8,0.2,10.6,20.8,0,2050.28
Modinagar,2016,Commercial,161,4.9,46.2,0.38,7.2,19.9,1,1912.61
Muradnagar,2022,Residential,245,16.7,66.8,0.37,18.6,18.5,0,1963.27
Ghaziabad,2025,Agricultural,202,1.1,43.9,0.26,0.5,9.8,0,795.14
Modinagar,2024,Commercial,197,13.6,69.5,0.45,1.7,15.5,1,3668.13
Meerut,2025,Residential,210,8.0,53.2,0.44,0.5,4.2,0,3161.46
Hapur,2024,Agricultural,135,11.4,65.8,0.52,13.9,14.4,0,355.54
Khekra,2015,Residential,160,23.0,73.3,0.52,15.7,27.4,0,1191.67
Meerut,2024,Mixed-use,231,7.7,40.7,0.24,2.7,0.5,1,3112.14
Ghaziabad,2015,Agricultural,176,8.5,47.5,0.17,7.7,17.3,1,495.48
Hapur,2020,Mixed-use,175,7.1,64.9,0.22,11.6,27.2,1,1817.1
Khekra,2017,Commercial,159,18.4,62.2,0.44,13.3,43.3,0,1940.29
Modinagar,2017,Residential,182,3.6,48.9,0.17,18.7,21.9,1,1260.97
Sardhana,2015,Residential,153,22.9,62.9,0.3,19.5,42.4,0,1029.46
Ghaziabad,2016,Residential,157,11.7,40.1,0.22,6.3,2.6,0,2913.49
Mawana,2016,Agricultural,107,24.9,66.5,0.57,36.0,49.6,0,235.62
Ghaziabad,2018,Commercial,215,9.1,49.4,0.46,2.6,7.6,1,4077.13
Muradnagar,2025,Residential,141,13.0,51.0,0.34,7.3,14.5,0,2574.63
Meerut,2017,Mixed-use,188,11.4,62.7,0.45,0.5,14.9,0,2822.09
Sardhana,2021,Residential,146,24.9,57.8,0.38,23.9,40.2,0,1573.92
Baghpat,2017,Mixed-use,171,22.7,60.7,0.76,26.7,21.2,0,1488.37
Sardhana,2017,Residential,164,27.7,73.0,0.44,24.4,30.7,0,1294.33
Sardhana,2019,Agricultural,194,17.4,62.5,0.47,29.4,34.7,0,232.62
Hapur,2020,Agricultural,204,17.2,56.3,0.32,0.9,22.5,0,309.96
Hapur,2016,Agricultural,273,8.1,62.3,0.2,3.0,26.6,0,245.73
Sardhana,2019,Mixed-use,124,25.6,53.0,0.3,23.1,44.4,0,1863.35
Ghaziabad,2015,Agricultural,253,2.2,23.5,0.42,5.9,14.8,1,377.14
Ghaziabad,2016,Agricultural,220,2.4,49.6,0.48,7.0,0.5,1,451.52
Baghpat,2018,Commercial,131,23.9,80.6,0.66,29.8,42.5,0,2377.68
Ghaziabad,2016,Commercial,227,5.6,49.4,0.2,0.6,0.5,0,4389.7
Mawana,2022,Residential,135,24.3,74.7,0.71,38.9,55.1,0,1395.36
Muradnagar,2018,Mixed-use,152,16.9,49.1,0.39,24.7,28.9,0,1986.28
Ghaziabad,2024,Residential,191,8.6,40.8,0.34,10.7,5.1,1,3892.36
Modinagar,2018,Commercial,160,11.4,55.2,0.19,0.5,22.6,1,2668.8
Khekra,2015,Agricultural,154,14.3,59.8,0.63,22.5,35.1,0,213.51
Pilkhuwa,2024,Agricultural,162,7.2,59.5,0.22,6.1,28.2,0,379.53
Baghpat,2022,Residential,150,18.1,68.9,0.55,28.2,26.1,0,1677.79
Khekra,2021,Mixed-use,198,18.6,38.2,0.5,16.9,20.8,1,1428.02
Mawana,2025,Mixed-use,197,25.3,71.9,0.65,26.3,38.8,0,1974.54
Pilkhuwa,2017,Residential,196,16.1,57.9,0.36,16.5,23.9,1,1159.82
Modinagar,2021,Residential,153,12.4,59.8,0.47,4.4,16.0,1,1776.01
Ghaziabad,2018,Agricultural,207,5.6,37.5,0.34,2.3,13.6,1,507.82
Baghpat,2016,Mixed-use,139,15.4,60.5,0.71,19.8,29.7,1,1221.79
Baghpat,2016,Mixed-use,149,14.2,59.2,0.57,28.3,23.8,0,1377.08
Sardhana,2025,Mixed-use,143,13.9,65.0,0.78,12.8,52.5,0,2065.16
Sardhana,2016,Residential,137,32.1,68.8,0.54,32.6,41.5,0,1201.09
Hapur,2016,Residential,179,15.3,59.4,0.55,20.2,15.6,0,1220.14
Hapur,2021,Agricultural,220,13.1,50.2,0.3,10.7,20.5,0,319.33
Pilkhuwa,2017,Commercial,155,9.8,68.7,0.57,10.7,18.3,0,2062.16
Khekra,2020,Commercial,178,9.5,64.1,0.91,24.8,28.7,0,1867.53
Modinagar,2019,Residential,212,6.2,60.4,0.28,0.5,13.9,1,1466.84
Mawana,2016,Agricultural,145,26.8,68.3,0.71,19.9,44.9,1,200
Mawana,2023,Commercial,119,25.4,73.5,0.54,31.9,46.8,0,2828.11
Pilkhuwa,2019,Agricultural,226,10.2,59.2,0.38,21.6,26.8,1,245.47
Meerut,2019,Commercial,209,4.0,50.0,0.38,0.5,0.5,0,3333.38
Pilkhuwa,2019,Commercial,192,5.7,57.5,0.3,15.3,25.0,1,1951.0
Sardhana,2019,Commercial,189,21.8,65.6,0.53,27.7,51.4,0,1965.18
Ghaziabad,2021,Mixed-use,220,6.4,40.5,0.28,0.5,8.5,0,4213.8
Modinagar,2016,Commercial,175,9.7,62.3,0.3,9.6,19.7,0,2533.79
Hapur,2025,Mixed-use,138,18.8,58.6,0.42,21.2,21.8,0,3086.25
Hapur,2024,Commercial,183,19.1,60.5,0.48,18.8,23.5,1,2902.13
Meerut,2022,Agricultural,138,8.3,55.5,0.49,11.5,6.5,0,454.06
Sardhana,2024,Residential,129,25.7,64.7,0.6,13.5,36.8,0,1816.36
Baghpat,2016,Agricultural,98,19.5,55.6,0.61,29.1,34.3,0,263.81
Hapur,2024,Commercial,219,15.0,73.8,0.47,20.1,25.7,1,2905.28
Sardhana,2024,Mixed-use,141,22.4,77.7,0.46,35.4,29.4,0,2351.02
Hapur,2016,Agricultural,215,16.0,52.1,0.35,17.0,30.2,1,218.9
Pilkhuwa,2023,Commercial,123,8.9,69.9,0.18,22.3,17.0,0,3388.97
Pilkhuwa,2024,Commercial,150,14.6,69.1,0.05,14.9,40.0,1,3195.54
Modinagar,2016,Agricultural,155,16.0,49.4,0.51,6.8,17.9,1,258.01
Meerut,2025,Residential,209,19.2,56.8,0.41,2.3,2.8,1,3075.94
Pilkhuwa,2022,Agricultural,181,11.7,53.3,0.36,14.1,21.0,1,269.65
Baghpat,2022,Agricultural,148,25.1,50.2,0.56,23.6,50.3,1,265.37
Meerut,2018,Agricultural,210,1.9,63.9,0.18,5.3,23.7,1,352.02
Muradnagar,2023,Residential,144,21.8,65.2,0.36,10.1,0.5,1,2328.15
Pilkhuwa,2017,Residential,118,23.2,67.5,0.18,15.9,42.3,1,1365.06
Khekra,2017,Mixed-use,99,10.4,66.6,0.47,23.4,35.0,1,1282.07
Ghaziabad,2016,Agricultural,201,5.6,54.8,0.28,2.9,0.5,0,624.74
Meerut,2024,Residential,233,1.0,38.8,0.47,0.5,0.5,1,2234.3
Khekra,2015,Residential,146,17.5,62.0,0.54,15.7,23.5,0,1120.7
Hapur,2024,Agricultural,190,15.7,55.3,0.29,10.3,10.0,0,376.14
Meerut,2023,Residential,203,10.1,60.2,0.49,0.5,1.2,0,2889.27
Muradnagar,2022,Mixed-use,161,11.3,68.1,0.26,13.6,6.2,1,2311.08
Ghaziabad,2025,Mixed-use,133,9.6,35.7,0.44,0.5,0.6,1,5157.72
Meerut,2021,Agricultural,178,19.4,65.1,0.55,3.6,0.5,1,481.53
Pilkhuwa,2018,Commercial,122,10.9,63.2,0.36,22.9,27.8,1,2147.35
Ghaziabad,2025,Agricultural,240,4.6,45.3,0.35,5.5,0.5,1,701.66
Meerut,2022,Residential,236,1.0,65.3,0.51,19.7,0.5,1,1936.05
Pilkhuwa,2019,Commercial,200,15.1,61.3,0.59,20.2,43.8,0,2275.61
Modinagar,2016,Agricultural,144,16.2,67.2,0.38,0.5,15.2,0,355.49
Sardhana,2021,Agricultural,159,15.4,62.7,0.39,14.7,37.7,0,256.5
Muradnagar,2015,Agricultural,185,9.0,66.7,0.27,15.1,13.2,1,244.1
Hapur,2022,Commercial,128,8.4,61.8,0.66,9.5,14.1,0,2936.38
Baghpat,2025,Agricultural,172,30.4,70.7,0.67,14.4,17.7,0,391.12
Modinagar,2018,Agricultural,143,7.1,46.6,0.2,13.8,2.7,0,357.0
Baghpat,2022,Residential,164,23.4,60.0,0.57,19.2,49.6,0,1694.11
Mawana,2020,Commercial,100,24.7,60.9,0.72,39.4,40.0,1,1996.65
Ghaziabad,2015,Agricultural,215,8.9,34.1,0.16,0.5,0.5,1,454.95
Mawana,2023,Mixed-use,116,23.5,67.3,0.59,28.8,47.3,0,1941.15
Ghaziabad,2015,Commercial,215,8.0,47.0,0.48,6.8,7.7,1,3380.4
Khekra,2016,Mixed-use,133,16.4,47.5,0.42,20.1,26.3,0,1430.07
Modinagar,2025,Residential,191,12.0,60.4,0.37,12.2,22.1,0,2497.03
Modinagar,2016,Mixed-use,168,9.8,61.9,0.33,0.5,20.9,1,1741.93
Baghpat,2024,Agricultural,131,25.1,54.0,0.72,25.8,38.1,0,326.14
Mawana,2017,Residential,184,21.4,67.7,0.73,42.1,40.8,0,961.04
Pilkhuwa,2019,Residential,169,18.1,55.5,0.19,23.6,24.4,0,1559.14
Meerut,2023,Agricultural,191,9.9,56.7,0.33,7.9,0.5,0,528.42
Meerut,2017,Mixed-use,210,10.8,43.7,0.26,3.1,0.5,1,2076.46
Pilkhuwa,2022,Commercial,157,2.1,74.8,0.3,25.8,29.1,0,2737.34
Meerut,2024,Commercial,142,3.5,50.3,0.2,14.8,0.5,0,5232.75
Pilkhuwa,2023,Commercial,168,13.4,59.3,0.47,16.6,9.9,0,3240.86
Khekra,2017,Agricultural,119,15.7,61.6,0.52,24.9,17.7,0,252.89
Khekra,2021,Commercial,127,20.3,61.6,0.61,14.5,31.1,0,2484.39
Khekra,2017,Commercial,141,14.7,57.1,0.68,17.5,24.8,0,1932.47
Baghpat,2022,Residential,170,19.5,78.3,0.36,28.8,23.2,0,1742.75
Pilkhuwa,2024,Mixed-use,165,13.6,57.5,0.61,22.5,13.4,1,2028.12
Modinagar,2020,Agricultural,198,18.0,54.1,0.49,2.7,13.9,1,343.52
Ghaziabad,2015,Residential,186,6.6,36.0,0.17,3.1,5.6,0,2545.88
Pilkhuwa,2016,Agricultural,164,11.4,56.0,0.15,2.6,35.8,0,273.34
Ghaziabad,2025,Residential,157,5.3,43.6,0.25,15.7,17.1,0,4624.88
Meerut,2019,Commercial,247,8.2,45.0,0.33,5.8,3.9,0,3517.39
Modinagar,2021,Residential,168,6.1,36.6,0.2,4.0,2.2,0,1967.74
Pilkhuwa,2025,Mixed-use,167,14.9,56.1,0.41,11.7,19.9,0,2845.7
Muradnagar,2022,Commercial,202,16.3,46.2,0.22,1.7,29.3,0,3239.47
Modinagar,2023,Agricultural,162,17.9,54.3,0.3,0.5,18.2,0,435.97
Khekra,2015,Mixed-use,114,16.4,67.5,0.43,21.1,28.7,1,1174.28
Meerut,2025,Residential,222,9.8,48.5,0.32,2.9,3.3,1,2738.73
Khekra,2020,Commercial,114,23.1,69.2,0.53,23.7,42.1,1,2257.87
Ghaziabad,2019,Commercial,188,6.3,67.4,0.29,9.4,18.7,1,4977.17
Hapur,2024,Commercial,212,6.4,48.3,0.25,21.6,26.4,0,2971.68
Hapur,2021,Commercial,233,10.4,52.7,0.23,16.4,17.1,0,2554.51
Modinagar,2018,Agricultural,228,10.9,49.0,0.55,1.3,20.0,0,326.46
Muradnagar,2022,Agricultural,185,10.7,60.7,0.19,7.0,24.5,1,347.89
Ghaziabad,2016,Mixed-use,196,11.2,50.3,0.31,0.5,0.5,1,3375.39
Muradnagar,2020,Mixed-use,203,15.3,59.4,0.31,13.6,35.0,1,1925.82
Pilkhuwa,2020,Mixed-use,164,11.3,58.6,0.27,8.9,7.9,1,1905.59
Muradnagar,2020,Residential,149,14.5,61.3,0.05,6.7,23.4,0,2145.62
Muradnagar,2021,Mixed-use,225,11.5,45.9,0.21,15.6,6.6,0,2207.86
Ghaziabad,2024,Commercial,229,6.3,42.7,0.06,9.4,0.7,1,5958.2
Pilkhuwa,2023,Agricultural,168,9.7,64.7,0.28,4.3,27.4,1,312.36
Khekra,2025,Agricultural,141,12.7,63.1,0.59,19.1,29.3,1,285.07
Muradnagar,2022,Commercial,157,8.1,59.3,0.25,0.5,18.9,1,2885.42
Modinagar,2017,Mixed-use,145,9.1,71.6,0.18,20.0,0.5,0,2117.88
Ghaziabad,2020,Residential,181,8.8,51.8,0.63,0.5,0.5,1,3032.87
Ghaziabad,2019,Commercial,227,10.5,49.3,0.34,0.5,11.7,1,4277.84
Meerut,2015,Commercial,206,15.8,51.7,0.16,8.4,3.5,0,2924.6
Meerut,2020,Residential,134,9.3,46.2,0.51,13.0,0.5,0,2530.07
Sardhana,2023,Commercial,87,28.1,49.2,0.27,29.5,37.5,0,2856.81
Khekra,2023,Residential,164,19.0,62.2,0.64,29.7,40.1,1,1413.02
Sardhana,2018,Commercial,99,12.4,67.2,0.48,33.6,31.9,0,1906.68
Modinagar,2016,Agricultural,176,4.3,43.1,0.3,11.7,7.9,1,243.97
Modinagar,2017,Mixed-use,143,14.1,54.4,0.46,0.5,10.7,0,2172.71
Muradnagar,2019,Agricultural,211,19.3,48.5,0.34,4.9,14.6,1,267.13
Mawana,2020,Mixed-use,159,22.7,80.4,0.8,39.4,45.9,0,1556.87
Hapur,2022,Residential,212,13.7,65.7,0.38,0.5,27.4,1,1716.0
Hapur,2024,Agricultural,185,14.5,69.1,0.6,20.6,8.3,1,303.92
Meerut,2024,Residential,130,1.0,63.0,0.24,14.2,14.7,0,3211.35
Ghaziabad,2023,Commercial,189,5.6,48.3,0.46,7.4,0.5,1,5052.28
Hapur,2018,Mixed-use,188,16.7,44.2,0.37,18.9,27.8,1,1508.89
Mawana,2018,Residential,141,20.1,85.0,0.64,16.1,40.1,0,1255.14
Hapur,2018,Commercial,165,15.9,60.3,0.28,16.3,31.6,1,2070.79
